9,10,11,12,13,14,15,16;3
77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96;3
1,2,3,4,5;2
84,85,86,87,88,89,90,91,92,93,94,95,96,97,98;6
27,28,29,30,31,32,33,34,35,36,37;9
1,2,3,4,5;3
6,7,8,9,10,11,12,13,14,15;3
80,81,82,83,84,85,86,87,88,89,90,91;9
59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74;6
22,23,24,25,26,27,28,29,30;3
71,72,73,74,75,76,77,78,79,80,81,82,83,84,85;3
90,91,92,93,94,95,96,97,98,99,100,101,102;4
55,56,57,58,59,60,61,62,63,64,65,66;9
46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61;5
100,101;1
19,20,21,22,23,24,25,26,27,28,29;3
90,91,92,93,94,95,96,97,98,99,100,101,102;3
76,77,78,79,80,81,82,83,84,85,86,87;2
48,49,50,51,52,53,54,55,56,57;3
82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98;9
