(1,6), (6,7), (2,7), (9,1)false
(4,1), (3,4), (0,5), (1,2)false
(4,6), (5,5), (5,6), (4,5)true
(0,2), (1,2), (1,1), (1,0)false
(9,4), (1,6), (9,7), (8,7)false
(3,9), (6,9), (3,6), (6,6)false
(2,7), (1,6), (0,7), (1,8)false
(2,2), (2,2), (2,2), (2,2)true
(0,8), (1,4), (5,5), (4,9)false
(4,6), (1,3), (0,2), (0,7)false
(3,2), (3,2), (5,2), (3,4)false
(8,6), (3,6), (3,1), (8,1)false
(2,7), (2,8), (1,7), (1,8)false
(5,6), (5,2), (5,6), (5,3)false
(0,3), (2,8), (2,9), (2,1)false
(6,8), (5,3), (3,3), (2,8)false
(6,4), (4,1), (3,6), (1,3)false
(4,4), (2,3), (1,5), (3,6)true
(5,0), (1,1), (2,5), (6,4)true
(3,4), (6,5), (2,7), (5,8)false
(2,7), (0,7), (1,8), (3,3)false
(2,2), (2,7), (7,7), (7,2)true
(6,4), (6,5), (7,5), (7,4)false
