22,130,180,213,367,396;409
10,25,60,80,90,120,130,445,450,570;390
2,7,9,23,25,58,62,100;108
10,15,40,85,135,145,185,205,210,220,235,255,260,270,305,310,315,365,400,430,445,455,475,485,505,515,520,525,530;355
125,215,310,440,460;400
48,69,85,93,125,135,166,172,300,398,404,424,429;473
15,40,45,50,100,140,165,240,260,280,330,350,385,415,475;375
9,11,22,25,34,45,71,75,99,132,138,145,164,179,182,201,221,224,234,271,294,317,331,369,380,387,393,417;420
19,27,29,30,43,50,86,100,129,138,147,184,188,189,217,229,256,261,269;308
1,34,40,53,54,65,78,83,98,113,117,140,167,203,228,232,238,250,255;272
65,130,190,195,290,310,315,325,385,415,420,425,455,545;385
5,13,18,29,47,75,108,109,111,133,139;150
41,91,142,160,177,207,255,361,423,443;481
2,3,28,32,43,68,83,98,126,133,138,160,165,210,211,218,225,247,251,262,283,287,298,305,319,340,341;362
7,87,99,136,264;438
85,170,400,475,525;385
75,78,93,102,126,151,167,190,248,249,262,298,321,337,351,373,381,405,414,466;477
15,50,60,90,95,105,125,130,160,175,200,220,230,270,280,310,320,390,395,425,490,540,560,605,615,630,640;455
99,115,120,143,169,228,266,336;367
42,45,66,70,155,167;266
8,19,29,36,41,42,51,71,87,108,138,143,152,155,158,162,167,177,194,199,218,243,259,266,283,304;310
45,50,75,80,105,175,185,195,200,215,230,235,240,245,270,275,310,340;240
45,50,55,60,65,135,150,170,195,205,250,255,270,285,310,340,350,355,360,450,520,535,580,585,595,610,630,635;455
5,10,30,75,80,95,125,130,145,150,165,195,220,235,260,270,285,325,370,400;270
10,15,20,25,30,35,40,55,60,65,95,115,130,140,165,195,205,210,215,220,235,240,245,270,280,285,290;195
5,7,8,20,27,35,56,75,76,78,92,97,98,105,107,111,124,127,128,129,140,142,153;154
14,25,27,56,66,67,86,88,93,103,118,122,129,135,170;205
25,105,170,260,340,400;440
19,28,37,87,101,114,118,132,138,151,182,195,198,241,271,295,300,339,347,373,451,468;469
26,42,76,100,115,141,170;438
15,20,40,140,160,170,180,185,200,240,275,290,305,310,425,455,490,515;345
64,88,186,192,203,211,269,276,333,377,382,401,413,423,435,439;453
85,110,115,150,170,180,200,205,225,235,240,245,250,260,275,295,320,325,340,345;235
1,2,3,4;50
10,30,35,40,45,50,75,95,125,140,150,155,170,180,205,225,295,325,370,465,480;325
4,5,11,33,50,52,54,57,61,62,68,82,84,91,105,122,123,126,131,135,140,145;153
1,3,4,14,18,20,27,61,62,64,67,81,85,88,91,93;99
30,35,75,85,135,150,165,175,240,250,255,310,320,360,380,390;270
90,105,125,155,190,195,230,235,255,260,275,280,290,330;240
1,2,3,4,6;5
